,Movie Name,Movie Year,Movie url,Genre,Runtime,Box Office,Critic Ratings,Audience Ratings
189,Se7en,1995,http://www.rottentomatoes.com/m/22538,"mysteryandthriller,drama,crime",2h 5m,100.1M,82,95
190,A Clockwork Orange,1971,http://www.rottentomatoes.com/m/15694,"scifi,drama",2h 17m,Not available!,88,93
191,Ratatouille,2007,http://www.rottentomatoes.com/m/470554171,"comedy,animation,kidsandfamily",1h 51m,206.4M,96,87
192,The Leopard,1963,http://www.rottentomatoes.com/m/10649,"history,drama",2h 45m,Not available!,98,89
193,The Exterminating Angel,1962,http://www.rottentomatoes.com/m/381420161,"fantasy,drama,comedy",1h 32m,Not available!,93,93
194,Room,2015,The url does not exist!,"fantasy,drama,comedy",1h 32m,Not available!,93,93
195,The Best Years of Our Lives,1946,http://www.rottentomatoes.com/m/22292,drama,2h 52m,Not available!,97,93
196,Trainspotting,1996,http://www.rottentomatoes.com/m/16743,"drama,comedy",1h 34m,16.6M,91,93
197,Monty Python and the Holy Grail,1975,http://www.rottentomatoes.com/m/11450,comedy,1h 30m,1.8M,97,95
198,Roman Holiday,1953,http://www.rottentomatoes.com/m/18129,romance,1h 59m,Not available!,97,93
199,Toy Story 2,1999,http://www.rottentomatoes.com/m/9414,"adventure,fantasy,animation,kidsandfamily,comedy",1h 32m,245.9M,100,86
200,The Elephant Man,1980,http://www.rottentomatoes.com/m/10377,"biography,drama",2h 5m,Not available!,92,93
201,Annie Hall,1977,http://www.rottentomatoes.com/m/10183,romance,1h 33m,Not available!,98,92
202,Before Sunrise,1995,http://www.rottentomatoes.com/m/12919,romance,1h 41m,4.7M,100,93
203,Forbidden Games,1952,http://www.rottentomatoes.com/m/414769001,drama,1h 27m,14.0K,100,92
204,Spotlight,2015,The url does not exist!,drama,1h 27m,14.0K,100,92
205,Castle in the Sky,1986,http://www.rottentomatoes.com/m/17036,"fantasy,anime",2h 4m,Not available!,90,Not available!
206,Persepolis,2007,http://www.rottentomatoes.com/m/770671982,"drama,animation",1h 35m,4.4M,96,92
207,The Iron Giant,1999,http://www.rottentomatoes.com/m/11685,"adventure,fantasy,animation,kidsandfamily",1h 26m,Not available!,96,90
208,Oldboy,2003,http://www.rottentomatoes.com/m/22533,mysteryandthriller,1h 58m,707.4K,82,94
209,Children of Heaven,1997,http://www.rottentomatoes.com/m/10741,drama,1h 28m,925.4K,83,96
210,A Short Film About Love,1988,http://www.rottentomatoes.com/m/22427,romance,1h 26m,Not available!,95,93
211,The Cameraman,1928,http://www.rottentomatoes.com/m/335716406,comedy,1h 10m,Not available!,100,94
212,Safety Last!,1923,http://www.rottentomatoes.com/m/563562998,comedy,1h 14m,Not available!,97,93
213,The Mother and the Whore,1973,http://www.rottentomatoes.com/m/196119586,drama,3h 30m,11.2K,96,92
214,There Will Be Blood,2007,http://www.rottentomatoes.com/m/770671487,drama,2h 38m,40.2M,92,86
215,Harry Potter and the Deathly Hallows: Part 2,2011,http://www.rottentomatoes.com/m/770687943,"fantasy,adventure",2h 11m,381.0M,96,89
216,Kind Hearts and Coronets,1949,http://www.rottentomatoes.com/m/19034,"drama,comedy,crime",1h 44m,35.9K,100,94
217,Beauty and the Beast,1991,http://www.rottentomatoes.com/m/9980,"fantasy,animation,kidsandfamily",1h 24m,219.0M,94,92
218,12 Years a Slave,2013,http://www.rottentomatoes.com/m/771316210,"history,biography,drama",2h 14m,56.7M,95,90
219,Howl's Moving Castle,2004,http://www.rottentomatoes.com/m/75428742,"fantasy,anime",1h 59m,Not available!,87,93
220,"Monsters, Inc.",2001,http://www.rottentomatoes.com/m/9382,"fantasy,animation,kidsandfamily,adventure,comedy",1h 32m,Not available!,96,90
221,In the Mood for Love,2000,http://www.rottentomatoes.com/m/12154,"romance,drama",1h 37m,2.7M,90,94
222,To Live,1994,http://www.rottentomatoes.com/m/19013,drama,2h 5m,2.2M,86,96
223,Three Colors: Blue,1993,http://www.rottentomatoes.com/m/381422018,drama,1h 37m,539.2K,98,93
224,Diabolique,1955,http://www.rottentomatoes.com/m/17242,"mysteryandthriller,drama,horror",1h 56m,Not available!,96,93
225,Close-Up,1990,http://www.rottentomatoes.com/m/21255,drama,1h 30m,Not available!,88,89
226,Werckmeister Harmonies,2000,http://www.rottentomatoes.com/m/266727281,drama,2h 25m,25.5K,98,91
227,Playtime,1967,http://www.rottentomatoes.com/m/20767,comedy,1h 33m,Not available!,98,90
